price,bedrooms,bathrooms,Area_sqft
221900,3,1,8170
538000,3,2,11502
180000,2,1,13490
604000,4,3,8320
510000,3,2,11560
1.23E+06,4,5,112110
257500,3,2,10772
291850,3,2,12421
229500,3,1,11030
323000,3,3,10840
662500,3,3,15566
468000,2,1,8490
310000,3,1,23111
400000,3,2,12420
530000,5,2,8020
650000,4,3,10090
395000,3,2,17820
485000,4,1,7510
189000,2,1,12110
230000,3,1,12304
385000,4,2,8000
2.00E+06,3,3,52027
285000,5,3,10810
252700,2,2,11933
329000,3,2,11150
233000,3,2,7437
937000,3,2,6901
667000,3,1,4841
438000,3,2,9420
719000,4,3,12373
580500,3,3,8880
280000,2,2,3845
687500,4,2,8790
535000,3,1,5660
322500,4,3,10739
696000,3,3,6950
550000,4,1,38668
640000,4,2,10090
240000,4,1,10585
605000,4,3,12793
625000,4,3,10560
775000,4,2,30816
861990,5,3,12859
685000,3,1,5430
309000,3,1,12276
488000,3,3,19813
210490,3,1,10746
785000,4,3,18386
450000,3,2,8183
1.35E+06,3,3,70438
228000,3,1,11579
345000,5,3,14274
600000,3,2,6900
585000,2,2,12010
920000,5,2,11460
885000,4,3,9780
292500,4,3,8995
301000,3,3,9860
951000,5,3,20552
430000,4,3,14096
650000,3,2,25955
289000,3,2,10950
505000,3,2,13709
549000,3,2,4164
425000,3,2,9100
317625,3,3,8019
975000,4,3,16519
287000,4,3,9109
204000,3,1,14080
1.33E+06,5,2,26748
1.04E+06,5,3,58394
325000,3,2,8512
571000,4,2,12067
360000,4,3,9800
349000,3,2,54259
832500,4,4,41772
380000,4,2,10740
480000,3,1,6990
410000,3,1,7600
720000,4,3,46483
390000,3,3,9800
360000,4,3,9659
355000,2,1,10460
356000,3,2,12242
315000,3,1,9164
940000,3,2,7760
305000,5,2,12650
461000,3,3,10948
215000,2,2,5600
335000,2,2,3126
243500,4,3,11363
1.10E+06,5,3,12393
153000,3,1,13050
430000,3,2,8150
700000,3,2,8150
905000,4,3,15500
247500,3,2,19391
199000,4,2,8720
314000,3,2,45260
437500,3,3,41717
850830,3,3,17511
555000,3,2,7068
699950,3,2,112353
1.09E+06,3,3,13403
290000,3,1,36769
375000,3,3,14595
460000,3,1,6915
188500,2,2,5003
680000,4,3,34167
470000,5,2,16872
597750,4,3,13874
570000,3,2,5968
272500,3,2,15680
329950,3,2,10139
480000,4,3,22041
740500,3,4,12560
518500,3,4,4312
205425,2,1,8850
171800,4,2,13050
535000,4,1,6202
660000,3,3,11214
391500,3,2,12162
395000,2,1,8480
445000,4,2,8350
770000,3,2,15814
1.45E+06,4,3,23599
445000,3,2,12961
260000,4,2,13061
822500,5,4,8980
430000,4,3,8350
212000,3,2,10355
660500,4,2,13673
784000,3,4,117508
453246,3,3,5987
675000,4,4,5958
199000,3,2,20260
220000,4,2,11610
452000,4,2,14142
382500,2,1,6690
519950,3,2,3769
665000,2,1,5480
527700,5,3,15015
205000,3,1,11799
420000,3,1,10717
500000,4,2,12777
921500,4,3,321884
890000,4,1,8750
430000,2,3,65344
258000,5,2,16120
511000,3,1,6335
532170,3,2,5950
560000,3,1,7530
282950,3,1,11130
2.25E+06,4,3,28190
350000,1,1,6810
215000,3,1,10039
650000,5,4,31845
320000,4,3,12120
247000,3,2,9628
320000,4,2,14670
255000,5,2,11702
438000,3,2,12640
900000,3,3,23403
441000,3,3,10900
420000,3,2,42462
370000,3,2,10220
269950,2,2,10420
807100,4,3,10099
653000,3,3,14910
371500,3,2,11476
284000,3,2,23630
272000,3,2,11230
313000,3,2,10732
917500,4,3,42623
673000,4,2,13040
425000,3,3,3810
399950,5,3,8650
385000,3,1,7220
269950,3,2,11460
330000,2,1,11110
260000,3,3,9137
470000,4,3,8915
589000,4,3,14330
163500,2,2,5519
835000,4,3,18802
1.10E+06,5,3,19480
269000,4,2,13680
560000,3,3,12674
615000,4,1,5060
585188,3,2,14486
305000,3,2,12670
166950,3,1,11240
799000,3,3,14717
400000,3,3,11588
230000,3,1,12858
256883,3,3,9265
423000,4,2,9950
465000,3,3,7984
440000,3,3,70451
385000,3,2,157983
210000,3,1,13885
297000,3,3,18922
470000,3,1,7690
226500,3,2,10100
274250,3,1,10760
840000,4,2,16260
677900,3,3,9777
425000,3,1,8164
180250,2,1,11750
464000,6,3,7264
320000,4,2,10759
625504,3,2,3996
592500,4,3,16792
465000,3,3,23240
477000,4,3,10120
280000,2,1,18350
1.51E+06,5,3,40610
445838,3,3,9262
1.07E+06,2,2,21344
467000,2,2,14240
686000,4,3,12270
279950,3,2,13400
527000,4,2,23676
325000,3,2,20320
328000,3,2,12419
390000,3,2,10030
479950,2,2,9666
264950,4,2,12983
235000,3,1,18636
516500,3,3,8459
655000,2,2,19278
500000,4,3,19907
315000,6,3,12410
213000,2,1,12350
475000,3,2,9850
1.03E+06,5,4,35230
416000,3,2,98590
410000,4,1,8220
800000,3,4,228034
472000,6,3,21044
225000,3,2,11125
210000,2,1,7660
455000,2,1,7880
225000,3,1,10876
480000,2,1,5480
363000,3,3,17182
2.40E+06,4,3,15124
181000,2,2,6990
250000,4,2,11332
481000,3,2,5950
260000,3,2,10769
455000,4,3,14105
415000,3,2,39464
349500,3,1,6558
245000,3,3,10802
592500,2,2,12031
385000,4,2,11890
315000,3,2,14585
255000,3,1,12780
693000,4,3,9875
780000,3,1,7720
237000,3,2,11340
525000,3,2,44990
425000,2,1,7140
369900,1,1,12069
290000,4,3,10930
285000,3,1,12951
415000,2,1,6890
272500,3,3,14040
2.90E+06,4,3,29040
1.37E+06,4,5,66836
436000,2,1,10018
210000,3,1,14440
236000,3,1,8518
331000,3,2,3826
365000,3,3,9816
450000,3,2,20208
770000,4,3,31980
455000,4,3,54255
405000,3,2,10410
304900,4,2,15645
170000,2,1,7775
2.05E+06,5,3,15360
780000,4,3,14468
330000,3,3,18949
370000,4,3,13796
467000,5,2,18300
405000,3,2,10060
675000,5,2,15510
500000,2,1,17260
389999,4,3,20070
630000,4,2,14095
360000,4,3,13968
580000,4,3,16660
550000,3,2,8526
879000,4,3,28621
265000,3,2,12019
446500,3,3,12336
404000,3,2,13050
267500,3,2,15134
3.08E+06,4,5,27741
335000,3,3,12582
576000,3,3,13130
208633,3,3,8220
315000,3,2,12410
725000,3,2,6960
550000,4,3,11350
610750,4,2,11727
550700,2,1,7470
665000,4,3,16614
834000,4,3,8810
201000,5,2,81728
2.38E+06,5,3,15580
