Survived,Pclass,Sex,Age,Fare
0,3,male,34.5,7.8292
1,3,female,47,7
0,2,male,62,9.6875
0,3,male,27,8.6625
1,3,female,22,12.2875
0,3,male,14,9.225
1,3,female,30,7.6292
0,2,male,26,29
1,3,female,18,7.2292
0,3,male,21,24.15
0,3,male,,7.8958
0,1,male,46,26
1,1,female,23,82.2667
0,2,male,63,26
1,1,female,47,61.175
1,2,female,24,27.7208
0,2,male,35,12.35
0,3,male,21,7.225
1,3,female,27,7.925
1,3,female,45,7.225
0,1,male,55,59.4
0,3,male,9,3.1708
1,1,female,,31.6833
0,1,male,21,61.3792
1,1,female,48,262.375
0,3,male,50,14.5
1,1,female,22,61.9792
0,3,male,22.5,7.225
0,1,male,41,30.5
0,3,male,,21.6792
0,2,male,50,26
0,2,male,24,31.5
1,3,female,33,20.575
1,3,female,,23.45
0,1,male,30,57.75
0,3,male,18.5,7.2292
1,3,female,,8.05
1,3,female,21,8.6625
0,3,male,25,9.5
0,3,male,,56.4958
0,3,male,39,13.4167
0,1,male,,26.55
0,3,male,41,7.85
1,2,female,30,13
1,1,female,45,52.5542
0,3,male,25,7.925
0,1,male,45,29.7
0,3,male,,7.75
1,1,female,60,76.2917
1,3,female,36,15.9
0,1,male,24,60
0,2,male,27,15.0333
1,2,female,20,23
1,1,female,28,263
0,2,male,,15.5792
0,3,male,10,29.125
0,3,male,35,7.8958
0,3,male,25,7.65
0,3,male,,16.1
1,1,female,36,262.375
0,3,male,17,7.8958
0,2,male,32,13.5
0,3,male,18,7.75
1,3,female,22,7.725
0,1,male,13,262.375
1,2,female,,21
1,3,female,18,7.8792
0,1,male,47,42.4
0,1,male,31,28.5375
1,1,female,60,263
1,3,female,24,7.75
0,3,male,21,7.8958
1,3,female,29,7.925
0,1,male,28.5,27.7208
1,1,female,35,211.5
0,1,male,32.5,211.5
0,3,male,,8.05
1,1,female,55,25.7
0,2,male,30,13
1,3,female,24,7.75
0,3,male,6,15.2458
0,1,male,67,221.7792
0,1,male,49,26
0,3,male,,7.8958
0,2,male,,10.7083
0,3,male,,14.4542
1,3,female,27,7.8792
1,3,female,18,8.05
1,3,female,,7.75
0,2,male,2,23
1,3,female,22,13.9
0,3,male,,7.775
1,1,female,27,52
0,3,male,,8.05
0,1,male,25,26
0,3,male,25,7.7958
1,1,female,76,78.85
0,3,male,29,7.925
1,3,female,20,7.8542
0,3,male,33,8.05
1,1,female,43,55.4417
0,2,male,27,26
0,3,male,,7.75
0,3,male,26,7.775
1,3,female,16,8.5167
0,3,male,28,22.525
0,3,male,21,7.8208
0,3,male,,7.75
0,3,male,,8.7125
